type,name,res_id,src,value,fuzzy
error,res.user,0,"You can not remove the root user
as it is used internally for resources
created by the system (updates, module installation, ...)","Vous ne pouvez pas supprimer l'utilisateur racine
puisqu'il est utilisé en interne pour créer
des ressources par le système (mise-à-jour, installation de module, ...)",0
field,"res.group,menu_access",0,Access Menu,Accès aux Menus,0
field,"res.group,model_access",0,Access Model,Accès aus Modèles,0
field,"res.group,name",0,Name,Nom,0
field,"res.group,rule_groups",0,Rules,Règles,0
field,"res.group,users",0,Users,Utilisateurs,0
field,"res.request,act_from",0,From,De,0
field,"res.request,active",0,Active,Actif,0
field,"res.request,act_to",0,To,À,0
field,"res.request,body",0,Body,Demande,0
field,"res.request,date_sent",0,Date,Date,0
field,"res.request,history",0,History,Historique,0
field,"res.request.history,act_from",0,From,De,0
field,"res.request.history,act_to",0,To,À,0
field,"res.request.history,body",0,Body,Corps,0
field,"res.request.history,date_sent",0,Date sent,Date d'envoi,0
field,"res.request.history,name",0,Summary,Résumé,0
field,"res.request.history,request",0,Request,Demande,0
field,"res.request.link,name",0,Name,Nom,0
field,"res.request.link,priority",0,Priority,Priorité,0
field,"res.request,name",0,Subject,Sujet,0
field,"res.request,priority",0,Priority,Priorité,0
field,"res.request,state",0,State,État,0
field,"res.request,trigger_date",0,Trigger Date,Date de déclenchement,0
field,"res.user,action",0,Home Action,Action accueil,0
field,"res.user,active",0,Active,Actif,0
field,"res.user,email",0,Email,E-mail,0
field,"res.user,groups",0,Groups,Groupes,0
field,"res.user,language",0,Language,Langue,0
field,"res.user,language_direction",0,Language Direction,Direction de la Langue,0
field,"res.user,login",0,Login,Nom d'utilisateur,0
field,"res.user,menu",0,Menu Action,Action menu,0
field,"res.user,name",0,Name,Nom,0
field,"res.user,password",0,Password,Mot de Passe,0
field,"res.user,rule_groups",0,Rules,Règles,0
field,"res.user,signature",0,Signature,Signature,0
field,"res.user,status_bar",0,Status Bar,Barre d'État,0
field,"res.user,timezone",0,Timezone,Fuseau Horaire,0
model,"ir.ui.menu,name",menu_group_form,Groups,Groupes,0
model,"ir.ui.menu,name",menu_request_form,Requests,Demandes,0
model,"ir.ui.menu,name",menu_res,Users,Res,0
model,"ir.ui.menu,name",menu_user_form,Users,Utilisateurs,0
selection,"res.request,priority",0,High,Élevé,0
selection,"res.request,priority",0,Low,Faible,0
selection,"res.request,priority",0,Normal,Normal,0
view,res.group,0,Group,Groupe,0
view,res.group,0,Groups,Groupes,0
view,res.group,0,Security,Sécurité,0
view,res.request,0,Close,Fermer,0
view,res.request,0,Description,Description,0
view,res.request,0,History,Historique,0
view,res.request,0,References,Références,0
view,res.request,0,Reply,Repondre,0
view,res.request,0,Request,Demander,0
view,res.request,0,Requests,Demandes,0
view,res.request,0,Send,Envoyer,0
view,res.request.history,0,Request History,Historique des demandes,0
view,res.request.link,0,Request Link,Lien des demandes,0
view,res.user,0,Preferences,Préférences,0
view,res.user,0,Security,Sécurité,0
view,res.user,0,User,Utilisateur,0
view,res.user,0,Users,Utilisateurs,0
view,res.user.config.init,0,Add Users,Ajout d'utilisateurs,0
view,res.user.config.init,0,Be careful that the login must be unique!,Attention l'utilisateurs doit être unique !,0
view,res.user.config.init,0,You can now add some users into the system.,Vous pouvez maintenant ajouter des utilisateurs au système.,0
wizard_button,"res.user.config,init,end",0,Cancel,Annuler,0
wizard_button,"res.user.config,init,user",0,Ok,Valider,0
wizard_button,"res.user.config,user,add",0,Add,Ajouter,0
wizard_button,"res.user.config,user,end",0,End,Terminer,0
